addressId,type,btc,eth,username,password
0x8d08aad4b2bac2bb761ac4781cf62468c9ec47b4,eoa,0.1,4,1,1
0xb0606f433496bf66338b8ad6b6d51fc4d84a44cd,eoa,1,5,2,2
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,contract,1,4,3,3
0x58f56615180a8eea4c462235d9e215f72484b4a3,eoa,2,5,4,4
0x3089df0e2349faea1c8ec4a08593c137da10fe2d,eoa,3,3,5,5
0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,contract,0.4,2,6,6
0x235f10ac97bb9e23984bacadc52f6993b53a24cf,eoa,0.2,5,7,7
0x1ef75d33baa2047ffe6baf601b7255f8f48f702c,eoa,5,7,8,8
0xc7317c5c439f31e5100d907eabf70b7f3cbc739a,eoa,10,8,9,9
0x04a90964c7c5c4ec1a97e34e426a24ce6dc36659,eoa,0.7,1,10,10
0x4e6fec28f5316c2829d41bc2187202c70ec75bc7,eoa,0.45,3,11,11
0x2eaca4958ed323125c5ec63c5e291fbcec01c8d0,eoa,4.2,9,12,12
0x1fd95a4699e5415387ca8df18973b1a8c0a8300e,eoa,5.6,4,13,13
0xc5c25a97514f9cbdc04eaf69e4c51f0a3b6e05b2,eoa,3.4,5,14,14
